step,samples_seen,p_grid_relative_l2,p_area_relative_l2,p_rmse,p_relative_linf,f_zero_rmse,f_zero_max_abs,outer_dirichlet_max_abs,elapsed_seconds
1,768,34.67415237426758,36.83605194091797,1.6445350646972656,31.19322395324707,128.21310424804688,300.1480407714844,0.0,26.292482213582844
1000,768000,0.3888012766838074,0.41354116797447205,0.01844017207622528,0.43786555528640747,1.896437406539917,9.914534568786621,0.0,516.1061926796101
2000,1536000,0.4720022678375244,0.49871450662612915,0.022386249154806137,0.5297092795372009,0.9479306936264038,3.7958970069885254,0.0,1006.1107272626832
3000,2304000,0.3318955898284912,0.36068195104599,0.01574123464524746,0.3795293867588043,0.763139545917511,2.6151161193847656,0.0,1496.0719404569827
4000,3072000,0.18454506993293762,0.19109833240509033,0.008752653375267982,0.23568876087665558,0.5125794410705566,2.7952587604522705,0.0,1986.1913221147843
5000,3840000,0.26039353013038635,0.2514926493167877,0.012350013479590416,0.30114462971687317,0.5650143623352051,3.036911964416504,0.0,2476.666489638854
6000,4608000,0.12029758840799332,0.13110201060771942,0.005705507006496191,0.17996852099895477,0.7615762948989868,4.060868263244629,0.0,2966.429666367825
7000,5376000,0.11474635452032089,0.13253067433834076,0.005442221183329821,0.17556077241897583,0.3784647285938263,1.878719449043274,0.0,3456.9009319716133
8000,6144000,0.21431265771389008,0.25973644852638245,0.010164478793740273,0.22123511135578156,0.4918569028377533,2.3032166957855225,0.0,3947.332489013672
9000,6912000,0.17509052157402039,0.1757710874080658,0.008304240182042122,0.23287491500377655,0.26624447107315063,2.200465202331543,0.0,4437.8797777057625
10000,7680000,0.12845538556575775,0.13685350120067596,0.00609241658821702,0.21733906865119934,0.28642159700393677,0.8707759380340576,0.0,4928.087290297728
11000,8448000,0.11217450350522995,0.13535523414611816,0.00532024260610342,0.09607485681772232,0.3287838101387024,1.6052099466323853,0.0,5418.881708317902
12000,9216000,0.19481304287910461,0.20037631690502167,0.00923964474350214,0.2705232501029968,0.3056671619415283,2.1405575275421143,0.0,5909.014097391628
13000,9984000,0.09856200963258743,0.10245528072118759,0.0046746255829930305,0.2047344297170639,0.1767328679561615,0.7632161378860474,0.0,6398.816027328838
14000,10752000,0.08358785510063171,0.0895632803440094,0.003964427392929792,0.1292072832584381,0.2528091073036194,1.2977033853530884,0.0,6888.4079393199645
15000,11520000,0.1046779528260231,0.11270291358232498,0.004964694380760193,0.15324752032756805,0.2878579795360565,1.646327018737793,0.0,7378.061570732854
16000,12288000,0.09255184978246689,0.10269635170698166,0.004389573819935322,0.15562796592712402,0.2130136340856552,0.9936519265174866,0.0,7868.277310951613
17000,13056000,0.15395309031009674,0.18510057032108307,0.007301728706806898,0.12145993858575821,0.2222888320684433,1.2892719507217407,0.0,8358.792089230847
18000,13824000,0.07940040528774261,0.08239445835351944,0.0037658237852156162,0.12167417258024216,0.155352383852005,0.9731580018997192,0.0,8848.763648972847
19000,14592000,0.13322794437408447,0.12947186827659607,0.006318770349025726,0.19450312852859497,0.1521298736333847,0.8281646966934204,0.0,9339.206326503772
20000,15360000,0.09311423450708389,0.10138048976659775,0.004416246898472309,0.15684056282043457,0.1959374099969864,1.0401053428649902,0.0,9828.936881326605
21000,16128000,0.1562950164079666,0.1589311808347702,0.007412802428007126,0.19254325330257416,0.15390819311141968,0.9439383745193481,0.0,10320.614310736768
22000,16896000,0.08606147766113281,0.10200147330760956,0.004081747028976679,0.12503919005393982,0.18236765265464783,1.0501718521118164,0.0,10809.974962801673
23000,17664000,0.11213766038417816,0.12636925280094147,0.005318495444953442,0.1851375550031662,0.17216990888118744,0.9256475567817688,0.0,11300.000618617982
24000,18432000,0.08510690182447433,0.08993981778621674,0.004036472644656897,0.1388588845729828,0.16937221586704254,1.041146159172058,0.0,11790.103144671768
25000,19200000,0.07712852954864502,0.08767414838075638,0.003658072790130973,0.08070959150791168,0.16914021968841553,1.0671249628067017,0.0,12280.361013804562
26000,19968000,0.07770808786153793,0.09834258258342743,0.0036855603102594614,0.05888337269425392,0.18335993587970734,1.0211507081985474,0.0,12770.790285304654
27000,20736000,0.06274121254682541,0.06997227668762207,0.0029757071752101183,0.08861284703016281,0.14365585148334503,0.6772472858428955,0.0,13260.601681925822
28000,21504000,0.10845144093036652,0.12522947788238525,0.0051436638459563255,0.09898830950260162,0.2563084065914154,1.075681209564209,0.0,13750.53146618465
