step,samples_seen,train_latent_mse,eval_latent_mse,eval_latent_relative_l2,eval_physical_relative_l2,elapsed_seconds
1,640,0.0011572964722290635,0.4048277735710144,2.963066816329956,3.2544541358947754,77.29899395629764
500,320000,0.0012183744693174958,0.0005158063140697777,0.119113028049469,0.10054227709770203,442.0419675009325
1000,640000,0.0010597038781270385,0.0008935175137594342,0.12350039929151535,0.08254484832286835,798.7883274164051
1500,960000,0.0011406162520870566,0.0006291323807090521,0.11566964536905289,0.08550205081701279,1156.8056458178908
2000,1280000,0.0006464125472120941,0.0006709980079904199,0.11207170784473419,0.09022009372711182,1513.7422898290679
2500,1600000,0.0007516586338169873,0.001047094352543354,0.14940932393074036,0.11563555151224136,1871.2323268698528
3000,1920000,0.0010540346847847104,0.004214375279843807,0.19740580022335052,0.1833573579788208,2227.9341823086143
3500,2240000,0.0005122559377923608,0.0003671000595204532,0.08535131812095642,0.050268515944480896,2585.589505107142
4000,2560000,0.0004312593664508313,0.000365225481800735,0.09906122833490372,0.062262650579214096,2941.908031139523
4500,2880000,0.0004005814844276756,0.0002840033848769963,0.07869964838027954,0.051523227244615555,3299.0525191249326
5000,3200000,0.0004075405595358461,0.0004250468919053674,0.09223875403404236,0.06698957085609436,3655.8821890838444
5500,3520000,0.0004196354711893946,0.000811817473731935,0.09539291262626648,0.047411948442459106,4012.4814796131104
6000,3840000,0.0002431852335575968,0.0003924997290596366,0.07666647434234619,0.053866416215896606,4368.631406399421
6500,4160000,0.0003160557826049626,0.0003342613345012069,0.08044077455997467,0.06296093016862869,4725.641071237624
7000,4480000,0.0002343884261790663,0.00021218342590145767,0.06627686321735382,0.05293583869934082,5082.760673625395
7500,4800000,0.0005986708565615118,0.0009065511985681951,0.13919970393180847,0.10452461242675781,5439.206077482551
8000,5120000,0.0003097481094300747,0.00020005232363473624,0.07655549049377441,0.049726702272892,5794.163987833075
8500,5440000,0.0002530923520680517,0.0002494799846317619,0.07035048305988312,0.05095626041293144,6150.57378686592
9000,5760000,0.0002825311094056815,0.0002392657770542428,0.06280244886875153,0.0396498441696167,6506.25766335614
9500,6080000,0.00036174419801682234,0.00036155106499791145,0.08806172013282776,0.07071758806705475,6862.860474064946
10000,6400000,0.0002807345299515873,0.000246228592004627,0.06806729733943939,0.050114165991544724,7218.31378185004
10500,6720000,0.00019737333059310913,0.00013740381109528244,0.05524789169430733,0.03745346516370773,7574.876056726091
11000,7040000,0.0011061852565035224,0.002568211406469345,0.19210785627365112,0.14084956049919128,7930.005980370566
11500,7360000,0.0006424703169614077,0.00031036132713779807,0.07542268931865692,0.05196062847971916,8286.221390420571
12000,7680000,0.0004210263432469219,0.00036647135857492685,0.08166861534118652,0.05695948004722595,8642.197521561757
12500,8000000,0.0004736798000521958,0.0004777578287757933,0.09852935373783112,0.07849539816379547,8998.556333927438
13000,8320000,0.0007019451586529613,0.00031975339516066015,0.0924844816327095,0.06716378778219223,9354.332398217171
13500,8640000,0.0003315594221930951,0.00028500478947535157,0.07813625037670135,0.055300723761320114,9711.846152309328
14000,8960000,0.00028564405511133373,0.0001165090361610055,0.05202442407608032,0.03129537031054497,10068.582889054902
14500,9280000,0.00024782191030681133,8.973707736004144e-05,0.046477023512125015,0.02515013888478279,10424.618333495222
15000,9600000,0.00021976062271278352,0.00021830538753420115,0.0713455006480217,0.04427127540111542,10779.51567729842
15500,9920000,0.00023057601356413215,0.0004995904164388776,0.08438222110271454,0.05043522268533707,11135.957137052901
16000,10240000,0.000422813551267609,0.0002698187017813325,0.07368393242359161,0.043502479791641235,11491.851238096133
16500,10560000,0.00021503613970708102,0.00011770011769840494,0.055063940584659576,0.03172006458044052,11848.148428498767
17000,10880000,0.0002078827965306118,0.00014319922775030136,0.05435080826282501,0.03054770827293396,12203.752488981001
17500,11200000,0.00019149805302731693,0.00020031846361234784,0.06349663436412811,0.04829249531030655,12560.188596338034
18000,11520000,0.00030600413447245955,0.00024948129430413246,0.07653188705444336,0.04814303293824196,12915.689924945123
18500,11840000,0.00020945850701536983,0.00014544806617777795,0.05826486274600029,0.03307279571890831,13271.728672659025
19000,12160000,0.00017042056424543262,0.0001971136953216046,0.057927973568439484,0.043157946318387985,13627.56887343619
19500,12480000,0.00017606357869226485,0.00016793653776403517,0.05406288057565689,0.03247755020856857,13983.829302659258
20000,12800000,0.00022966389951761812,0.00017040446982719004,0.061371177434921265,0.041446033865213394,14339.067865589634
20500,13120000,0.000492946186568588,0.0003365460433997214,0.08854701370000839,0.05493300035595894,14696.013199657202
21000,13440000,0.0004898202023468912,0.00034594043972902,0.09295754879713058,0.06457200646400452,15052.315526578575
21500,13760000,0.00015708366117905825,8.439828525297344e-05,0.04856470227241516,0.03100718930363655,15408.83110698592
22000,14080000,0.0001591662730788812,6.108997331466526e-05,0.03349081799387932,0.021977009251713753,15764.018454845995
22500,14400000,0.00017589023627806455,0.0003966707445215434,0.07577283680438995,0.050126973539590836,16120.3955957219
23000,14720000,0.00023740611504763365,0.00032716465648263693,0.06711030751466751,0.04439279064536095,16475.806383688003
23500,15040000,0.00015734267071820796,0.000135808193590492,0.048860102891922,0.0345611646771431,16832.076927829534
24000,15360000,0.0007366880308836699,0.0006263601244427264,0.11575256288051605,0.08105066418647766,17188.200006581843
24500,15680000,0.0002311223652213812,0.00010827350342879072,0.050268519669771194,0.027362748980522156,17544.4400150422
25000,16000000,0.0001495937176514417,0.00010725215543061495,0.049207013100385666,0.034265629947185516,17899.6472670706
25500,16320000,0.0001402172929374501,9.494760888628662e-05,0.04952903091907501,0.03027537651360035,18255.921446386725
26000,16640000,0.00013257889077067375,0.00013075326569378376,0.04729769378900528,0.030792517587542534,18611.69657489471
26500,16960000,0.00012342336412984878,0.00015812322089914232,0.05755182355642319,0.039574846625328064,18968.669622358866
27000,17280000,0.00012828320905100554,0.0002254950231872499,0.05499448627233505,0.043328531086444855,19324.751564028673
27500,17600000,0.00012560859613586217,0.0002214371634181589,0.06260054558515549,0.044374480843544006,19682.020633948967
28000,17920000,0.00011681199976010248,0.00011834554607048631,0.04523565247654915,0.026241278275847435,20038.191676124
28500,18240000,0.00014943466521799564,8.70635049068369e-05,0.047928404062986374,0.03853314369916916,20394.80465828441
29000,18560000,0.0001300621806876734,8.820970833767205e-05,0.03464430198073387,0.02138812653720379,20750.16971613746
29500,18880000,0.0001467139954911545,0.0002605645568110049,0.06895603239536285,0.04984326288104057,21106.50670732092
30000,19200000,0.00025038313469849527,0.00022568587155546993,0.0696488469839096,0.053773410618305206,21462.12352555152
30500,19520000,0.0001726973132463172,8.388575224671513e-05,0.040319301187992096,0.025663603097200394,21818.85589164961
31000,19840000,8.880902169039473e-05,0.00017007486894726753,0.04357409477233887,0.027269259095191956,22174.38654050976
31500,20160000,9.163495997199789e-05,7.40664909244515e-05,0.03918220102787018,0.023635612800717354,22530.647632132284
32000,20480000,0.00031886782380752265,0.00025473907589912415,0.06563097983598709,0.048116285353899,22886.21132525988
32500,20800000,0.00012791299377568066,0.00012763951963279396,0.05068213492631912,0.03466502204537392,23242.584934888408
33000,21120000,0.00013351382222026587,0.0005028618616051972,0.07698173075914383,0.059235405176877975,23598.310743173584
33500,21440000,0.00011044276470784098,0.0001140653039328754,0.04360571503639221,0.028507672250270844,23955.605916451663
34000,21760000,0.00010821616888279095,0.00012983304623048753,0.05373662710189819,0.03626231476664543,24312.392244477756
34500,22080000,0.0001349861267954111,0.0001485199754824862,0.05540858209133148,0.03800424933433533,24669.720220129006
35000,22400000,0.00013101119839120656,0.00010386834037490189,0.044716253876686096,0.02801520749926567,25026.652601056732
35500,22720000,0.00011815843026852235,0.00011019612429663539,0.05412990599870682,0.05041138455271721,25383.320106541738
36000,23040000,8.506219455739483e-05,0.00011846745474031195,0.03797061741352081,0.029534507542848587,25738.673033947125
36500,23360000,0.00024323188699781895,0.00013245850277598947,0.056767288595438004,0.04241371154785156,26095.698482904583
37000,23680000,0.00020952080376446247,0.00015339342644438148,0.05676659941673279,0.04210049659013748,26450.923563260585
37500,24000000,8.861903188517317e-05,3.070355160161853e-05,0.02852029912173748,0.019588422030210495,26807.103765147738
38000,24320000,8.660859748488292e-05,6.602110806852579e-05,0.041532307863235474,0.029523003846406937,27162.587409452535
38500,24640000,7.377874135272577e-05,6.347335147438571e-05,0.038147784769535065,0.030418822541832924,27518.898556246422
39000,24960000,0.00010071219730889425,6.193982699187472e-05,0.03579727187752724,0.024400845170021057,27874.94852124434
39500,25280000,8.468081068713218e-05,5.374263855628669e-05,0.03377700224518776,0.026958027854561806,28231.078143234365
40000,25600000,0.00011593860108405352,8.606776827946305e-05,0.04097795486450195,0.030423935502767563,28587.10169675015
40500,25920000,0.00018539039592724293,0.00013743891031481326,0.04921029508113861,0.0324755534529686,28944.239873912185
41000,26240000,0.0001653368235565722,6.526701326947659e-05,0.040917571634054184,0.03496433421969414,29300.145965985022
41500,26560000,7.962506060721353e-05,5.931047417107038e-05,0.03804420679807663,0.02537708170711994,29658.324565229006
42000,26880000,0.0002039612299995497,0.00016927174874581397,0.06418410688638687,0.044229812920093536,30015.37557598576
42500,27200000,7.875465234974399e-05,0.00010675692465156317,0.04317251220345497,0.03403228521347046,30371.89794530347
43000,27520000,6.004450915497728e-05,0.00012964647612534463,0.04644390940666199,0.03557950630784035,30727.38631249033
43500,27840000,6.998143362579867e-05,9.68582826317288e-05,0.04540931433439255,0.03290539234876633,31083.61751779355
44000,28160000,7.151459431042895e-05,0.00010474146256456152,0.04269547760486603,0.026849646121263504,31439.297415641136
44500,28480000,9.079562005354092e-05,3.9653925341553986e-05,0.03156127780675888,0.022098544985055923,31795.56188085489
45000,28800000,6.038623541826382e-05,5.440813765744679e-05,0.03249873220920563,0.01996038854122162,32150.704122684896
45500,29120000,0.00019827228970825672,0.000255987630225718,0.07138848304748535,0.04820193722844124,32507.083636644296
46000,29440000,6.669366121059284e-05,4.216750676278025e-05,0.03673672676086426,0.019744211807847023,32862.636554561555
46500,29760000,0.00010200688120676205,0.000134103320306167,0.044531334191560745,0.030205434188246727,33219.12848605495
47000,30080000,0.00011509676551213488,0.00014378255582414567,0.05948163568973541,0.04247286170721054,33574.68840767536
47500,30400000,7.246870518429205e-05,4.639151302399114e-05,0.035077303647994995,0.025626108050346375,33930.61452649813
48000,30720000,7.019866461632773e-05,6.0556292737601325e-05,0.03197284787893295,0.01971147395670414,34285.987690317445
48500,31040000,5.630782834487036e-05,9.116676665144041e-05,0.0388236902654171,0.02989525906741619,34643.36231577862
49000,31360000,0.00016205805877689272,0.00014086923329159617,0.051566269248723984,0.034386444836854935,34999.42972896248
49500,31680000,6.392636714736e-05,7.585207640659064e-05,0.03226820379495621,0.02405494824051857,35355.83931026142
50000,32000000,5.189807416172698e-05,6.973230483708903e-05,0.03852907195687294,0.02754267118871212,35711.25813258067
50500,32320000,6.863762246211991e-05,7.748763891868293e-05,0.03402690589427948,0.02973962016403675,36067.50806423742
51000,32640000,0.006818808149546385,0.006697977427393198,0.3385925590991974,0.27464985847473145,36423.07705547754
51500,32960000,0.00013581589155364782,0.00017261152970604599,0.053651873022317886,0.03524260222911835,36779.04543867707
52000,33280000,0.00015244659152813256,0.00017424553516320884,0.05904669314622879,0.04365960881114006,37134.31912475545
52500,33600000,9.910118387779221e-05,4.714983151643537e-05,0.037987809628248215,0.02908071130514145,37489.93753454927
53000,33920000,7.805475615896285e-05,5.462579429149628e-05,0.034144043922424316,0.020139630883932114,37845.70076479297
53500,34240000,7.897186878835782e-05,7.445455412380397e-05,0.03990526869893074,0.031525470316410065,38202.037851345725
54000,34560000,9.125360520556569e-05,0.00023077955120243132,0.06125297397375107,0.04359428584575653,38557.417018344626
54500,34880000,5.6588447478134185e-05,6.800545088481158e-05,0.0382673554122448,0.02954976074397564,38913.831972961314
55000,35200000,7.816767174517736e-05,7.327749335672706e-05,0.03165765851736069,0.022547833621501923,39269.79067529831
55500,35520000,0.000100507284514606,6.91791792633012e-05,0.03704385459423065,0.027059102430939674,39626.054640190676
56000,35840000,6.922992906766012e-05,5.289904584060423e-05,0.03225839138031006,0.02096536196768284,39981.82176762819
56500,36160000,6.683720857836306e-05,4.97960027132649e-05,0.03327236697077751,0.024503381922841072,40338.73466880992
57000,36480000,5.44231734238565e-05,0.00023305797367356718,0.04615763947367668,0.028545789420604706,40694.75191755593
57500,36800000,8.854782208800316e-05,4.508157871896401e-05,0.035681892186403275,0.022329282015562057,41051.16866657324
58000,37120000,6.017318446538411e-05,0.00010556812048889697,0.04030422121286392,0.028267934918403625,41407.22376204468
58500,37440000,6.823561852797866e-05,9.1778754722327e-05,0.04022383689880371,0.023604853078722954,41763.894375806674
59000,37760000,5.7996647228719667e-05,4.819946479983628e-05,0.03214503079652786,0.020698990672826767,42119.55767564848
59500,38080000,6.203319935593754e-05,5.374231841415167e-05,0.0350540466606617,0.02443852089345455,42476.083200731315
60000,38400000,6.60591758787632e-05,0.000135524504003115,0.043449439108371735,0.03286083787679672,42831.700443854555
60500,38720000,9.38353841775097e-05,7.80934642534703e-05,0.04213235527276993,0.026536133140325546,43188.49392519146
61000,39040000,8.633970719529316e-05,0.00013628636952489614,0.051257483661174774,0.03302951157093048,43544.51343439147
61500,39360000,6.004896931699477e-05,3.515971184242517e-05,0.029073189944028854,0.01671091467142105,43900.64755094331
62000,39680000,6.208944978425279e-05,2.568756099208258e-05,0.023455221205949783,0.01475071907043457,44256.168444443494
62500,40000000,6.420823046937585e-05,7.176505459938198e-05,0.03655145689845085,0.025632213801145554,44613.111957414076
63000,40320000,6.499313894892111e-05,7.050640851957723e-05,0.04038112238049507,0.026248538866639137,44968.80552857835
63500,40640000,5.085427619633265e-05,8.420816448051482e-05,0.041474029421806335,0.028029704466462135,45325.1552415723
64000,40960000,0.00024173036217689514,0.00018457465921528637,0.06578395515680313,0.04731215909123421,45680.44008735474
64500,41280000,5.2049803343834355e-05,3.0482498914352618e-05,0.025906424969434738,0.015085105784237385,46036.340879254974
65000,41600000,5.064573997515254e-05,4.461035132408142e-05,0.03213777765631676,0.020314283668994904,46391.96816112567
65500,41920000,5.585666440310888e-05,4.928925773128867e-05,0.032790735363960266,0.021878812462091446,46748.97601533495
66000,42240000,0.0001875689922599122,0.0001931273436639458,0.05941642448306084,0.037302762269973755,47104.35604856908
66500,42560000,0.00014247799117583781,4.4102031097281724e-05,0.028655465692281723,0.020921040326356888,47460.7995678056
67000,42880000,8.497625822201371e-05,6.710158777423203e-05,0.03699776530265808,0.02412126399576664,47815.779936233535
67500,43200000,5.235906064626761e-05,3.850635766866617e-05,0.02787128835916519,0.02265276573598385,48171.995953410864
68000,43520000,6.905595364514738e-05,3.638474299805239e-05,0.025542300194501877,0.01736549101769924,48527.69899670221
68500,43840000,0.00012883140880148858,0.00014739199832547456,0.04211711138486862,0.030625898391008377,48884.22827334609
69000,44160000,5.8951813116436824e-05,4.075135802850127e-05,0.025143492966890335,0.016006842255592346,49239.816400197335
69500,44480000,9.135824075201526e-05,4.628289025276899e-05,0.02901916205883026,0.018426991999149323,49595.46750937868
70000,44800000,8.822375821182504e-05,7.750489021418616e-05,0.03756599873304367,0.029073338955640793,49950.76130100619
70500,45120000,7.135862688301131e-05,6.49383437121287e-05,0.030377525836229324,0.020518459379673004,50307.89733478241
71000,45440000,5.565023093367927e-05,6.467370258178562e-05,0.03262561932206154,0.021935012191534042,50663.447167150676
71500,45760000,5.5531098041683435e-05,3.09591596305836e-05,0.025600865483283997,0.020056521520018578,51019.43507838901
72000,46080000,3.880871008732356e-05,3.184357046848163e-05,0.025392606854438782,0.015772134065628052,51375.08865461033
72500,46400000,6.0520203987834975e-05,7.290340727195144e-05,0.03213238716125488,0.019018933176994324,51731.20203749742
73000,46720000,0.00010295261017745361,8.461029938189313e-05,0.03816903382539749,0.02704257145524025,52086.66578150168
73500,47040000,5.1648228691192344e-05,4.599447129294276e-05,0.03126637637615204,0.020270273089408875,52442.54374517128
74000,47360000,5.312195935402997e-05,3.879255382344127e-05,0.0269152969121933,0.018231693655252457,52798.25769426301
74500,47680000,4.34060457337182e-05,3.604593075579032e-05,0.029560059309005737,0.022443681955337524,53154.28531027213
75000,48000000,7.915538299130276e-05,4.9940197641262785e-05,0.03345746919512749,0.026042185723781586,53509.52431405056
75500,48320000,3.7760677514597774e-05,5.0637972890399396e-05,0.03198716789484024,0.02005826309323311,53865.28439603653
76000,48640000,8.216292189899832e-05,0.00016533402958884835,0.06010642647743225,0.046642713248729706,54220.99958972726
76500,48960000,9.517590660834685e-05,0.00010375070996815339,0.04335884749889374,0.030935747548937798,54578.53872153256
77000,49280000,8.584401075495407e-05,7.140885281842202e-05,0.03777986764907837,0.027591686695814133,54935.0247528851
77500,49600000,3.994183862232603e-05,3.1175484764389694e-05,0.024586506187915802,0.01693054288625717,55291.61597719975
78000,49920000,4.209051257930696e-05,2.7586631404119544e-05,0.02582136169075966,0.016888681799173355,55647.337346323766
78500,50240000,4.615465513779782e-05,3.0255268939072266e-05,0.026490535587072372,0.01556343212723732,56003.824685142376
79000,50560000,6.865135947009549e-05,3.149991971440613e-05,0.024459058418869972,0.015423438511788845,56359.06426228769
